ticker,removal_date,company,analyzed,fate
SRCL,2016-12-19,Stericycle,no,unknown
NTAP,2016-12-19,NetApp,yes,survived
BBBY,2016-12-19,Bed Bath & Beyond,yes,survived
NXPI,2017-02-07,NXP Semiconductors,no,acquired
SBAC,2017-03-20,SBA Communications,yes,survived
TRIP,2017-04-24,TripAdvisor,yes,survived
YHOO,2017-06-19,Yahoo! Inc.,no,acquired
MAT,2017-10-23,Mattel,yes,survived
VIAB,2017-12-18,Viacom,no,unknown
TSCO,2017-12-18,Tractor Supply,yes,survived
NCLH,2017-12-18,Norwegian Cruise Line Holdings,yes,survived
DISCK,2017-12-18,Discovery Communications Series C,yes,survived
DISCA,2017-12-18,Discovery Communications Series A,yes,survived
AKAM,2017-12-18,Akamai Technologies,yes,survived
DISH,2018-07-23,Dish Network,no,unknown
CA,2018-11-05,CA Inc.,no,acquired
XRAY,2018-11-19,Dentsply Sirona,yes,survived
ESRX,2018-12-24,Express Scripts,no,unknown
HOLX,2018-12-24,Hologic,no,unknown
VOD,2018-12-24,Vodafone,yes,survived
SHPG,2018-12-24,Shire PLC,yes,survived
STX,2018-12-24,Seagate Technology,yes,survived
QRTEA,2018-12-24,Qurate Retail,yes,survived
FOX,2019-03-19,21st Century Fox Class B,no,acquired
FOXA,2019-03-19,21st Century Fox Class A,no,acquired
CELG,2019-11-21,Celgene,no,acquired
HAS,2019-12-23,Hasbro,yes,survived
JBHT,2019-12-23,J.B. Hunt,yes,survived
HSIC,2019-12-23,Henry Schein,yes,survived
NLOK,2019-12-23,NortonLifeLock,yes,survived
WYNN,2019-12-23,Wynn Resorts,yes,survived
MYL,2019-12-23,Mylan,yes,survived
AAL,2020-04-20,American Airlines,yes,survived
WTW,2020-04-30,Willis Towers Watson,yes,survived
UAL,2020-06-22,United Airlines Holdings,yes,survived
CSGP,2020-07-20,CoStar Group,yes,survived
NTAP,2020-08-24,NetApp,yes,survived
WDC,2020-10-19,Western Digital,yes,survived
CTXS,2020-12-21,Citrix Systems,no,unknown
EXPE,2020-12-21,Expedia,yes,survived
BMRN,2020-12-21,BioMarin Pharmaceutical,yes,survived
LBTYK,2020-12-21,Liberty Global,yes,survived
TTWO,2020-12-21,Take-Two Interactive,yes,survived
ULTA,2020-12-21,Ulta Beauty,yes,survived
LBTYA,2020-12-21,Liberty Global,yes,survived
ALXN,2021-07-21,Alexion Pharmaceuticals,no,acquired
MXIM,2021-08-26,Maxim Integrated Products,no,acquired
INCY,2021-12-20,Incyte,yes,survived
TCOM,2021-12-20,Trip.com,yes,survived
CHKP,2021-12-20,Check Point,yes,survived
CERN,2021-12-20,Cerner,no,acquired
FOX,2021-12-20,Fox Corporation,yes,survived
FOXA,2021-12-20,Fox Corporation,yes,survived
CDW,2021-12-20,CDW,yes,survived
PTON,2022-01-24,Peloton,yes,survived
XLNX,2022-02-22,Xilinx,no,acquired
OKTA,2022-11-21,Okta,yes,survived
MTCH,2022-12-19,Match Group,yes,survived
BIDU,2022-12-19,Baidu,yes,survived
SPLK,2022-12-19,Splunk,no,unknown
NTES,2022-12-19,NetEase,yes,survived
SWKS,2022-12-19,Skyworks,yes,survived
VRSN,2022-12-19,VeriSign,yes,survived
DOCU,2022-12-19,DocuSign,yes,survived
FI,2023-06-07,Fiserv,no,unknown
RIVN,2023-06-20,Rivian Automotive,yes,survived
ATVI,2023-07-17,Activision Blizzard,no,acquired
SGEN,2023-12-14,Seagen Inc.,no,acquired
ALGN,2023-12-18,Align Technology,yes,survived
EBAY,2023-12-18,EBay,yes,survived
ZM,2023-12-18,Zoom Video Communications,yes,survived
JD,2023-12-18,JD.com,yes,survived
LCID,2023-12-18,Lucid Group,yes,survived
ENPH,2023-12-18,Enphase Energy,yes,survived
SPLK,2024-03-18,Splunk,no,acquired
SIRI,2024-06-24,Sirius XM,yes,survived
WBA,2024-07-22,Walgreens Boots Alliance,no,unknown
DLTR,2024-11-18,Dollar Tree,yes,survived
SMCI,2024-12-23,Supermicro,yes,survived
MRNA,2024-12-23,Moderna,yes,survived
ILMN,2024-12-23,Ilumina,yes,survived
MDB,2025-05-19,MongoDB,yes,survived
ANSS,2025-07-17,Ansys,no,acquired
SOLS,2025-11-06,Solstice Advanced Materials,yes,survived
ON,2025-12-22,ON Semiconductor,yes,survived
LULU,2025-12-22,Lululemon Athletica,yes,survived
GFS,2025-12-22,GlobalFoundries,yes,survived
CDW,2025-12-22,CDW Corporation,yes,survived
BIIB,2025-12-22,Biogen,yes,survived
TTD,2025-12-22,Trade Desk (The),yes,survived
VSNT,2026-01-09,Versant,yes,survived
AZN,2026-01-20,AstraZeneca,yes,survived
TEAM,2026-04-20,Atlassian,yes,survived
CSGP,2026-05-18,CoStar Group,yes,survived
