first_day_out,last_day,base_close,lowest_pct,days_to_low,date_of_low,highest_pct,days_to_high,date_of_high,one_year_pct,data_days,truncated,qqq_same_window_pct,excess_vs_qqq_pct,ticker,fetch_ticker,removal_date,source
2012-12-24,2013-12-24,1.289,-1.0,3,2012-12-28,321.79,251,2013-12-23,319.36,253,False,35.97,283.39,NFLX,NFLX,2012-12-24,yfinance
2012-12-24,2013-12-24,10.61,-45.81,241,2013-12-09,68.71,18,2013-01-22,-27.14,253,False,35.97,-63.11,RIMM,BB,2012-12-24,yfinance
2012-12-24,2013-12-24,37.4518,-0.58,1,2012-12-26,56.42,251,2013-12-23,55.89,253,False,35.97,19.92,VRSN,VRSN,2012-12-24,yfinance
2012-12-24,2013-12-24,7.1507,-13.45,2,2012-12-27,79.54,231,2013-11-22,66.0,253,False,35.97,30.03,MRVL,MRVL,2012-12-24,yfinance
2013-06-06,2014-06-06,89.6121,-0.89,4,2013-06-12,42.91,186,2014-03-04,18.57,253,False,30.24,-11.67,PRGO,PRGO,2013-06-06,yfinance
2013-07-15,2014-07-15,26.5505,-1.09,32,2013-08-28,35.05,234,2014-06-18,28.26,253,False,28.5,-0.24,ORCL,ORCL,2013-07-15,yfinance
2014-03-17,2015-01-09,4.712,-29.02,187,2014-12-10,7.14,1,2014-03-18,-26.99,208,True,16.0,-42.99,GOLD,GOLD,2013-11-18,yfinance
2013-12-23,2014-12-23,119.93,-22.65,194,2014-10-01,1.38,2,2013-12-26,-8.3,253,False,21.05,-29.35,FOSL,FOSL,2013-12-23,yfinance
2013-12-23,2014-12-23,16.8882,-12.4,204,2014-10-15,14.81,132,2014-07-03,7.18,253,False,21.05,-13.87,MCHP,MCHP,2013-12-23,yfinance
2013-12-23,2014-12-23,41.7196,-9.0,84,2014-04-25,15.32,240,2014-12-05,11.27,253,False,21.05,-9.78,XRAY,XRAY,2013-12-23,yfinance
2014-12-22,2015-12-22,132.97,-27.57,246,2015-12-14,1.61,2,2014-12-24,-26.72,253,False,7.97,-34.69,FFIV,FFIV,2014-12-22,yfinance
2014-12-22,2015-12-22,83.8461,-12.83,31,2015-02-06,54.6,220,2015-11-05,43.86,253,False,7.97,35.89,EXPE,EXPE,2014-12-22,yfinance
2015-03-23,2016-03-22,183.7269,-4.52,3,2015-03-26,42.42,252,2016-03-22,42.42,253,False,0.89,41.53,EQIX,EQIX,2015-03-23,yfinance
2015-12-21,2016-12-20,37.0877,-51.46,221,2016-11-04,5.13,7,2015-12-31,-44.22,253,False,9.76,-53.98,LILA,LILA,2015-12-21,yfinance
2015-12-21,2016-12-20,57.614,-21.68,16,2016-01-14,68.06,185,2016-09-15,37.38,253,False,9.76,27.62,WYNN,WYNN,2015-12-21,yfinance
2015-12-21,2016-12-20,9626.1699,-20.01,224,2016-11-09,2.84,136,2016-07-07,-19.49,253,False,9.76,-29.25,VIP,VIP,2015-12-21,yfinance
2015-12-21,2016-12-20,26.8494,-9.17,18,2016-01-19,60.8,153,2016-08-01,46.51,253,False,9.76,36.75,GRMN,GRMN,2015-12-21,yfinance
2015-12-21,2016-12-20,39.6802,-6.72,17,2016-01-15,26.54,244,2016-12-08,21.87,253,False,9.76,12.11,EXPD,EXPD,2015-12-21,yfinance
2015-12-21,2016-12-20,49.0375,-1.2,13,2016-01-11,26.21,244,2016-12-08,22.14,253,False,9.76,12.38,CHRW,CHRW,2015-12-21,yfinance
2015-12-21,2016-12-20,38.7006,-52.87,221,2016-11-04,4.62,7,2015-12-31,-48.39,253,False,9.76,-58.15,LILAK,LILAK,2015-12-21,yfinance
2016-02-16,2017-02-14,5.4506,0.17,2,2016-02-18,38.61,251,2017-02-13,38.24,253,False,29.66,8.58,KLAC,KLAC,2016-02-16,yfinance
2016-06-20,2017-06-20,15.38,-7.22,6,2016-06-28,64.04,214,2017-04-26,51.37,253,False,31.39,19.98,BATRA,BATRA,2016-06-20,yfinance
2016-06-20,2017-06-20,15.0,-6.47,6,2016-06-28,66.53,214,2017-04-26,54.53,253,False,31.39,23.14,BATRK,BATRK,2016-06-20,yfinance
2016-12-19,2017-12-19,28.9607,-4.0,8,2016-12-30,62.59,246,2017-12-11,60.73,253,False,32.52,28.21,NTAP,NTAP,2016-12-19,yfinance
2016-12-19,2017-12-19,18.75,-25.07,110,2017-05-30,304.27,251,2017-12-18,292.69,253,False,32.52,260.17,BBBY,BBBY,2016-12-19,yfinance
2017-03-20,2018-03-20,106.7473,-0.15,2,2017-03-22,49.27,220,2018-02-01,44.65,253,False,28.29,16.36,SBAC,SBAC,2017-03-20,yfinance
2017-04-24,2018-04-24,38.5412,-30.64,143,2017-11-14,10.73,12,2017-05-10,-3.3,253,False,19.13,-22.43,TRIP,TRIP,2017-04-24,yfinance
2017-10-23,2018-10-23,15.46,-17.21,102,2018-03-21,21.67,22,2017-11-22,-10.22,253,False,18.18,-28.4,MAT,MAT,2017-10-23,yfinance
2017-12-18,2018-12-19,12.0846,-15.38,79,2018-04-13,42.03,226,2018-11-09,26.22,253,False,-2.05,28.27,TSCO,TSCO,2017-12-18,yfinance
2017-12-18,2018-12-19,54.98,-23.01,217,2018-10-29,10.82,26,2018-01-26,-17.84,253,False,-2.05,-15.79,NCLH,NCLH,2017-12-18,yfinance
2017-12-18,2018-12-19,21.64,-3.19,113,2018-06-01,56.19,225,2018-11-08,24.21,253,False,-2.05,26.26,DISCK,WBD,2017-12-18,yfinance
2017-12-18,2018-12-19,21.64,-3.19,113,2018-06-01,56.19,225,2018-11-08,24.21,253,False,-2.05,26.26,DISCA,WBD,2017-12-18,yfinance
2017-12-18,2018-12-19,65.67,-6.59,205,2018-10-11,25.75,124,2018-06-18,-4.04,253,False,-2.05,-1.99,AKAM,AKAM,2017-12-18,yfinance
