ticker,removal_date,company,reason,include
LIFE,2013-08-22,Life Technologies,Life Technologies was in the process of merging with Thermo Fisher Scientific.,0
DELL,2013-10-29,Dell,Dell Inc. was taken private.,0
GOLD,2013-11-18,Randgold Resources,Randgold Resources did not meet the minimum monthly weight requirements.,1
FOSL,2013-12-23,Fossil Group,Annual index reconstitution.,1
MCHP,2013-12-23,Microchip Technology,Annual index reconstitution.,1
SHLD,2013-12-23,Sears Holdings,Annual index reconstitution.,1
XRAY,2013-12-23,Dentsply,Annual index reconstitution.,1
NUAN,2013-12-23,Nuance Communications,Annual index reconstitution.,1
MXIM,2014-12-22,Maxim Integrated Products,Annual index reconstitution.,1
FFIV,2014-12-22,F5 Networks,Annual index reconstitution.,1
EXPE,2014-12-22,Expedia Group,Annual index reconstitution.,1
EQIX,2015-03-23,Equinix,"Equinix converted into a real estate investment trust, making it ineligible for inclusion in the Nasdaq-100, but it became eligible for inclusion in the Nasdaq Financial-100.",1
KRFT,2015-07-02,Kraft Foods,"Kraft Foods merged with Heinz, becoming Kraft Heinz",0
CTRX,2015-07-24,Catamaran Corporation,Catamaran Corporation went private.,0
DTV,2015-07-24,DirecTV,DirecTV was acquired by AT&T.,0
SIAL,2015-07-31,Sigma-Aldrich,Sigma-Aldrich was acquired by Merck KGaA.,0
ALTR,2015-10-07,Altera,Altera merged with Intel.,0
AVGO,2015-11-11,Broadcom Corporation,Broadcom was in the process of merging with Avago.,0
LILA,2015-12-21,Liberty Latin America Class A,Liberty Media tracking stocks were removed from the index.,1
WYNN,2015-12-21,Wynn Resorts,Annual index reconstitution.,1
VIP,2015-12-21,VimpelCom,Annual index reconstitution.,1
SPLS,2015-12-21,Staples,Annual index reconstitution.,1
GRMN,2015-12-21,Garmin,Annual index reconstitution.,1
GMCR,2015-12-21,Keurig Green Mountain,Annual index reconstitution.,1
EXPD,2015-12-21,Expeditors International,Annual index reconstitution.,1
CHRW,2015-12-21,C. H. Robinson Worldwide,Annual index reconstitution.,1
LILAK,2015-12-21,Liberty Latin America Class C,Liberty Media tracking stocks were removed from the index.,1
KLAC,2016-02-16,KLA-Tencor,KLA-Tencor did not meet the minimum monthly weight requirements.,1
SNDK,2016-03-16,SanDisk,SanDisk was acquired by Western Digital.,0
BATRA,2016-06-20,Liberty Media,Liberty Media did not meet the minimum monthly weight requirements.,1
LMCK,2016-06-20,Liberty Media,Liberty Media did not meet the minimum monthly weight requirements.,1
LMCA,2016-06-20,Liberty Media,Liberty Media did not meet the minimum monthly weight requirements.,1
BATRK,2016-06-20,Liberty Media,Liberty Media did not meet the minimum monthly weight requirements.,1
ENDP,2016-07-18,Endo International,Endo International did not meet the minimum monthly weight requirements.,1
LLTC,2016-10-19,Linear Technology,Linear Technology did not meet the minimum monthly weight requirements.,1
WFM,2016-12-19,Whole Foods Market,Annual index reconstitution.,1
SRCL,2016-12-19,Stericycle,Annual index reconstitution.,1
NTAP,2016-12-19,NetApp,Annual index reconstitution.,1
BBBY,2016-12-19,Bed Bath & Beyond,Annual index reconstitution.,1
NXPI,2017-02-07,NXP Semiconductors,NXP was in the process of merging with Qualcomm.,0
SBAC,2017-03-20,SBA Communications,"SBA converted into a real estate investment trust, making it ineligible for inclusion in the Nasdaq-100, but it became eligible for inclusion in the Nasdaq Financial-100.",1
TRIP,2017-04-24,TripAdvisor,TripAdvisor did not meet the minimum monthly weight requirements.,1
YHOO,2017-06-19,Yahoo! Inc.,Yahoo! Inc. was acquired by Verizon and subsequently converted to a closed-end fund.,0
MAT,2017-10-23,Mattel,Mattel did not meet the minimum monthly weight requirements.,1
VIAB,2017-12-18,Viacom,Annual index reconstitution.,1
TSCO,2017-12-18,Tractor Supply,Annual index reconstitution.,1
